Validation_Set,Topics,Alpha,Beta,Coherence
100% corpus,12,0.9099999999999999,0.9099999999999999,0.3860852304710077
100% corpus,12,0.9099999999999999,symmetric,0.4005464970630812
100% corpus,12,symmetric,0.01,0.3581121065084049
100% corpus,12,symmetric,0.31,0.41191457619109473
100% corpus,12,symmetric,0.61,0.4337316044851088
100% corpus,12,symmetric,0.9099999999999999,0.4612257427975619
100% corpus,12,symmetric,symmetric,0.3661178085930627
100% corpus,12,asymmetric,0.01,0.35244767129390925
100% corpus,12,asymmetric,0.31,0.37422278250763696
100% corpus,12,asymmetric,0.61,0.4116896039831876
100% corpus,12,asymmetric,0.9099999999999999,0.4046567389308655
100% corpus,12,asymmetric,symmetric,0.3848630616827043
100% corpus,14,0.01,0.01,0.3342288998002818
100% corpus,14,0.01,0.31,0.4047205175643275
100% corpus,14,0.01,0.61,0.39275616046573264
100% corpus,14,0.01,0.9099999999999999,0.422593257231509
100% corpus,14,0.01,symmetric,0.39147979984636383
100% corpus,14,0.31,0.01,0.3727022215287472
100% corpus,14,0.31,0.31,0.3822116782583828
100% corpus,14,0.31,0.61,0.3990185883392576
100% corpus,14,0.31,0.9099999999999999,0.4392467950127017
100% corpus,14,0.31,symmetric,0.38401108900578784
100% corpus,14,0.61,0.01,0.36660815300414307
100% corpus,14,0.61,0.31,0.3959872085009932
100% corpus,14,0.61,0.61,0.4023623172726189
100% corpus,14,0.61,0.9099999999999999,0.41830215896679007
100% corpus,14,0.61,symmetric,0.38873606011206857
100% corpus,14,0.9099999999999999,0.01,0.37319499328877365
100% corpus,14,0.9099999999999999,0.31,0.41657706315162074
100% corpus,14,0.9099999999999999,0.61,0.3692699358443204
100% corpus,14,0.9099999999999999,0.9099999999999999,0.42607395922270447
100% corpus,14,0.9099999999999999,symmetric,0.4055879628207856
100% corpus,14,symmetric,0.01,0.37192655890994547
100% corpus,14,symmetric,0.31,0.3948986605009733
100% corpus,14,symmetric,0.61,0.3828890217556435
100% corpus,14,symmetric,0.9099999999999999,0.4119850507547956
100% corpus,14,symmetric,symmetric,0.3945267947021534
100% corpus,14,asymmetric,0.01,0.36889102948057056
100% corpus,14,asymmetric,0.31,0.4028425013306502
100% corpus,14,asymmetric,0.61,0.3768536196247799
100% corpus,14,asymmetric,0.9099999999999999,0.4111493229632376
